"","pol_ID_parallel","V1","V2","lon_centroid_parallel","lat_centroid_parallel","state_segment","point","latitude","longitude","radians_parallel","length_parallel","radians_orthogonal","length_orthogonal","perp_slope","slope","end_longitude","end_latitude","chunk","lead_lat","lead_lon","lead_end_lat","lead_end_lon","state"
"21","chunk_2_10",-46.970001,-0.69999999,-46.3325009925,-0.72,"PA",242,-0.69999999,-46.970001,0,1.36,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.610001,-0.69999999,2,-0.74000001,-46.860001,-0.74000001,-45.89000097,"PA"
"22","chunk_2_10",-46.860001,-0.74000001,-46.3325009925,-0.72,"PA",242,-0.69999999,-46.970001,0,1.36,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.610001,-0.69999999,2,-0.74000001,-46.860001,-0.74000001,-45.89000097,"PA"
"23","chunk_2_10",-45.89000097,-0.74000001,-46.3325009925,-0.72,"PA",242,-0.69999999,-46.970001,0,1.36,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.610001,-0.69999999,2,-0.74000001,-46.860001,-0.74000001,-45.89000097,"PA"
"24","chunk_2_10",-45.610001,-0.69999999,-46.3325009925,-0.72,"PA",242,-0.69999999,-46.970001,0,1.36,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.610001,-0.69999999,2,-0.74000001,-46.860001,-0.74000001,-45.89000097,"PA"
"25","chunk_2_11",-46.860001,-0.74000001,-46.332499495,-0.765000015,"PA",241,-0.74000001,-46.860001,0,0.97000003,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.89000097,-0.74000001,2,-0.79000002,-46.669998,-0.79000002,-45.90999801,"PA"
"26","chunk_2_11",-46.669998,-0.79000002,-46.332499495,-0.765000015,"PA",241,-0.74000001,-46.860001,0,0.97000003,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.89000097,-0.74000001,2,-0.79000002,-46.669998,-0.79000002,-45.90999801,"PA"
"27","chunk_2_11",-45.90999801,-0.79000002,-46.332499495,-0.765000015,"PA",241,-0.74000001,-46.860001,0,0.97000003,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.89000097,-0.74000001,2,-0.79000002,-46.669998,-0.79000002,-45.90999801,"PA"
"28","chunk_2_11",-45.89000097,-0.74000001,-46.332499495,-0.765000015,"PA",241,-0.74000001,-46.860001,0,0.97000003,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.89000097,-0.74000001,2,-0.79000002,-46.669998,-0.79000002,-45.90999801,"PA"
"29","chunk_2_12",-46.669998,-0.79000002,-46.1824985,-0.83500001,"PA",235,-0.79000002,-46.669998,0,0.75999999,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.90999801,-0.79000002,2,-0.88,-46.209999,-0.88,-45.93999899,"PA"
"30","chunk_2_12",-46.209999,-0.88,-46.1824985,-0.83500001,"PA",235,-0.79000002,-46.669998,0,0.75999999,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.90999801,-0.79000002,2,-0.88,-46.209999,-0.88,-45.93999899,"PA"
"31","chunk_2_12",-45.93999899,-0.88,-46.1824985,-0.83500001,"PA",235,-0.79000002,-46.669998,0,0.75999999,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.90999801,-0.79000002,2,-0.88,-46.209999,-0.88,-45.93999899,"PA"
"32","chunk_2_12",-45.90999801,-0.79000002,-46.1824985,-0.83500001,"PA",235,-0.79000002,-46.669998,0,0.75999999,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.90999801,-0.79000002,2,-0.88,-46.209999,-0.88,-45.93999899,"PA"
"33","chunk_2_13",-46.209999,-0.88,-44.8124990225,-0.965,"PA",244,-0.88,-46.209999,0,0.27000001,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.93999899,-0.88,2,-1.05,-45.869999,-1.05,-41.2299991,"PA"
"34","chunk_2_13",-45.869999,-1.05,-44.8124990225,-0.965,"PA",244,-0.88,-46.209999,0,0.27000001,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.93999899,-0.88,2,-1.05,-45.869999,-1.05,-41.2299991,"PA"
"35","chunk_2_13",-41.2299991,-1.05,-44.8124990225,-0.965,"PA",244,-0.88,-46.209999,0,0.27000001,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.93999899,-0.88,2,-1.05,-45.869999,-1.05,-41.2299991,"PA"
"36","chunk_2_13",-45.93999899,-0.88,-44.8124990225,-0.965,"PA",244,-0.88,-46.209999,0,0.27000001,1.16335687154731,NA,2.31701201003036,-0.431590339485076,-45.93999899,-0.88,2,-1.05,-45.869999,-1.05,-41.2299991,"PA"
"37","chunk_2_14",-45.869999,-1.05,-43.534999525,-1.075,"MA1",247,-1.05,-45.869999,0,4.6399999,1.07827699736853,NA,1.86348623853211,-0.53662859393462,-41.2299991,-1.05,2,-1.1,-45.77,-1.1,-41.27,"MA"
"38","chunk_2_14",-45.77,-1.1,-43.534999525,-1.075,"MA1",247,-1.05,-45.869999,0,4.6399999,1.07827699736853,NA,1.86348623853211,-0.53662859393462,-41.2299991,-1.05,2,-1.1,-45.77,-1.1,-41.27,"MA"
"39","chunk_2_14",-41.27,-1.1,-43.534999525,-1.075,"MA1",247,-1.05,-45.869999,0,4.6399999,1.07827699736853,NA,1.86348623853211,-0.53662859393462,-41.2299991,-1.05,2,-1.1,-45.77,-1.1,-41.27,"MA"
"40","chunk_2_14",-41.2299991,-1.05,-43.534999525,-1.075,"MA1",247,-1.05,-45.869999,0,4.6399999,1.07827699736853,NA,1.86348623853211,-0.53662859393462,-41.2299991,-1.05,2,-1.1,-45.77,-1.1,-41.27,"MA"
