"","pol_ID_parallel","pol_ID_orthogonal","well_ID","POCO","CADASTRO","OPERADOR","POCO_OPERADOR","ESTADO","BACIA","BLOCO","SIG_CAMPO","CAMPO","TERRA_MAR","POCO_POS_ANP","TIPO","CATEGORIA","RECLASSIFICACAO","SITUACAO","INICIO","TERMINO","CONCLUSAO","TITULARIDADE","LATITUDE_BASE_4C","LONGITUDE_BASE_4C","LATITUDE_BASE_DD","LONGITUDE_BASE_DD","DATUM_HORIZONTAL","TIPO_DE_COORDENADA_DE_BASE","DIRECAO","PROFUNDIDADE_VERTICAL_M","PROFUNDIDADE_SONDADOR_M","PROFUNDIDADE_MEDIDA_M","REFERENCIA_DE_PROFUNDIDADE","MESA_ROTATIVA","COTA_ALTIMETRICA_M","LAMINA_D_AGUA_M","DATUM_VERTICAL","UNIDADE_ESTRATIGRAFICA","GEOLOGIA_GRUPO_FINAL","GEOLOGIA_FORMACAO_FINAL","GEOLOGIA_MEMBRO_FINAL","CDPE","AGP","PC","PAG","PERFIS_CONVENCIONAIS","DURANTE_PERFURACAO","PERFIS_DIGITAIS","PERFIS_PROCESSADOS","PERFIS_ESPECIAIS","AMOSTRA_LATERAL","SISMICA","TABELA_TEMPO_PROFUNDIDADE","DADOS_DIRECIONAIS","TESTE_A_CABO","TESTE_DE_FORMACAO","CANHONEIO","TESTEMUNHO","GEOQUIMICA","SIG_SONDA","NOM_SONDA","DHA_ATUALIZACAO","Begin_Year","Conclusion_Year","End_Year","Type","Success","munic_code_orthogonal","munic_code_parallel"
"5765",NA,NA,4789,"7-DJ-713-BA",202400368100,"Petrobras","7DJ  0713  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","9/16/1982 0:00","9/23/1982 0:00","9/23/1982 0:00","Público","-12:42:49,845","-38:40:28,050",-12.7138458333,-38.6744583333,"SIRGAS2000","Definitiva","Vertical",NA,341,NA,"MR",5.59999,NA,1.4,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","ST-2                          ","","3/1/2020 5:00",1982,1982,1982,"Development","Successfull",NA,NA
"5766",NA,NA,6239,"8-DJ-465-BA",202400165400,"Petrobras","8DJ  0465  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Injeção","INJEÇÃO DE ÁGUA","ABANDONADO PERMANENTEMENTE","8/11/1964 0:00","8/13/1964 0:00","8/13/1964 0:00","Público","-12:39:11,110","-38:39:13,043",-12.6530861111,-38.6536230555,"SIRGAS2000","Definitiva","Vertical",NA,333.2,NA,"MR",4.9,NA,1.9,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-55","SONDA CONVENCIONAL 55","3/1/2020 5:00",1964,1964,1964,"Development","Other",NA,NA
"5767",NA,NA,449,"7-DJM-854H-BAS",20241027229,"Petrobras","7DJM854HBAS","BA","Recôncavo","","DJM  ","DOM JOÃO MAR","M","S","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","PRODUZINDO","8/23/2013 0:00","9/20/2013 0:00","10/5/2013 0:00","Público","-12:37:34,933","-38:39:10,360",-12.6263702777,-38.6528777777,"SIRGAS2000","Definitiva","Horizontal",-242.8,2004,2004,"MR",2.41,2.41,0,"NM",NA,"Brotas","Sergi","","Existe","","","","","Existe","","","","","","","Existe","","","","","","MGD-01","DD-625","3/1/2020 5:00",2013,2013,2013,"Development","Successfull",NA,NA
"5768",NA,NA,6241,"7-DJ-463-BA",202400165100,"Petrobras","7DJ  0463  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","8/4/1964 0:00","8/5/1964 0:00","8/5/1964 0:00","Público","-12:38:29,514","-38:40:16,063",-12.6415316666,-38.6711286111,"SIRGAS2000","Definitiva","Vertical",NA,332.2,NA,"MR",4.59999,NA,1.6,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-55","SONDA CONVENCIONAL 55","3/1/2020 5:00",1964,1964,1964,"Development","Successfull",NA,NA
"5769",NA,NA,4793,"7-DJ-712-BA",202400367800,"Petrobras","7DJ  0712  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","9/11/1982 0:00","9/16/1982 0:00","9/16/1982 0:00","Público","-12:42:39,062","-38:40:50,580",-12.7108505555,-38.6807166666,"SIRGAS2000","Definitiva","Vertical",NA,358,NA,"MR",5.59999,NA,1.5,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1982,1982,1982,"Development","Successfull",NA,NA
"5770",NA,"chunk_2_72",2591,"3-BRSA-107A-RNS",72101019643,"Petrobras","3RNS147A","RN","Potiguar","BPOT-10","","","M","S","Exploratório","Extensão","ABANDONADO POR ACIDENTE MECÂNICO","ABANDONADO PERMANENTEMENTE","10/8/2001 0:00","NA/NA/NA","11/22/2001 0:00","Público","-05:01:16,976","-36:29:24,893",-5.0213822222,-36.4902480555,"SIRGAS2000","Definitiva","Vertical",NA,54,NA,"MR",25,0,6,"NM",NA,"","","","Existe","Existe","","","","","","","","","","","","","","","","","PA-35","NOBLE DICK FAVOR","3/1/2020 5:00",2001,2001,NA,"Exploratory",NA,2407203,NA
"5771",NA,NA,1904,"7-SER-18D-RNS",72101021647,"Petrobras","7SER18DRNS","RN","Potiguar","SER","SER  ","SERRA","M","S","Explotatório","Desenvolvimento","PORTADOR DE PETRÓLEO","PRODUZINDO","1/6/2006 0:00","3/27/2006 0:00","5/14/2006 0:00","Público","-05:05:14,222","-36:33:58,116",-5.0872838888,-36.5661433333,"SIRGAS2000","Definitiva","Direcional",0,3655,3655,"MR",10,0,2.26,"NM",NA,"","","","Existe","","","","","","Existe","","","","","","Existe","","","","","","QG-02","QUEIROZ GALVÃO 02","3/1/2020 5:00",2006,2006,2006,"Development","Successfull",NA,NA
"5772",NA,NA,5881,"1-ESS-16D-ES",342710036600,"","1ESS 0016D ES","ES","Espírito Santo","Brasil","","","M","N","Exploratório","Pioneiro","ABANDONADO POR ACIDENTE MECÂNICO","ABANDONADO PERMANENTEMENTE","8/13/1973 0:00","10/28/1973 0:00","10/28/1973 0:00","Público","-18:40:14,064","-39:44:41,778",-18.6705733333,-39.7449383333,"SIRGAS2000","Definitiva","Direcional",NA,2136,NA,"MR",7,NA,NA,"",NA,"","","","","Existe","Existe","","","","Existe","","","","","","","","","","","","SC-65","SONDA CONVENCIONAL 65","3/1/2020 5:00",1973,1973,1973,"Exploratory",NA,NA,NA
"5773",NA,NA,5883,"8-DJ-650-BA",202400271500,"Petrobras","8DJ  0650  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Injeção","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","7/30/1973 0:00","8/19/1973 0:00","8/19/1973 0:00","Público","-12:39:44,896","-38:40:24,374",-12.6624711111,-38.6734372222,"SIRGAS2000","Definitiva","Vertical",NA,330,NA,"MR",6.4,NA,1,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-55","SONDA CONVENCIONAL 55","3/1/2020 5:00",1973,1973,1973,"Development","Successfull",NA,NA
"5774",NA,NA,1545,"8-DJ-811H-BAS",20241023279,"Petrobras","8DJ811HBAS","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","S","Explotatório","Injeção","PRODUTOR COMERCIAL DE PETRÓLEO","INJETANDO","9/2/2008 0:00","4/16/2009 0:00","5/19/2009 0:00","Público","-12:37:34,554","-38:39:10,947",-12.626265,-38.6530408333,"SIRGAS2000","Definitiva","Horizontal",0,2620,2620,"MR",1.47,0,1.47,"NM",NA,"","","","Existe","","","","","Existe","","","","","","","Existe","","","","","","CR-02","DD-1080-52t American Augers","3/1/2020 5:00",2008,2009,2009,"Development","Successfull",NA,NA
"5775",NA,NA,4800,"7-DJ-711-BA",202400367100,"Petrobras","7DJ  0711  BA","BA","Recôncavo","DJM","DJM  ","DOM JOÃO MAR","M","N","Explotatório","Desenvolvimento","PRODUTOR COMERCIAL DE PETRÓLEO","ABANDONADO PERMANENTEMENTE","8/26/1982 0:00","9/5/1982 0:00","9/5/1982 0:00","Público","-12:42:39,367","-38:40:43,289",-12.7109352777,-38.6786913888,"SIRGAS2000","Definitiva","Vertical",NA,325,NA,"MR",6.09999,NA,1.4,"NM",NA,"","","","","","","","","","Existe","","","","","","","","","","","","SC-18","SONDA CONVENCIONAL 18","3/1/2020 5:00",1982,1982,1982,"Development","Successfull",NA,NA
"5776",NA,NA,1910,"6-UPP-1D-SES",90121021624,"Maha Energy","6UPP1DSES","SE","Sergipe","S107","TTG  ","TARTARUGA","M","S","Exploratório","Jazida Mais Profunda","PORTADOR DE PETRÓLEO","","12/26/2005 0:00","NA/NA/NA","3/29/2006 0:00","Público","-10:40:07,767","-36:46:17,210",-10.6688241666,-36.7714472222,"SIRGAS2000","Definitiva","Direcional",-3671,3900,3900,"MR",21.6,0,14,"NM",NA,"","","","Existe","","Existe","Existe","Existe","","","","","","","","Existe","","","","","","QG-01","QUEIROZ GALVÃO 01","3/1/2020 5:00",2005,2006,NA,"Exploratory","Successfull",NA,NA
"5777",NA,"chunk_2_72",3776,"1-RNS-111-RN",721010302200,"","1RNS 0111  RN","RN","Potiguar","Brasil","","","M","N","Exploratório","Pioneiro","ABANDONADO POR ACIDENTE MECÂNICO","ABANDONADO PERMANENTEMENTE","12/19/1987 0:00","12/22/1987 0:00","12/22/1987 0:00","Público","-05:00:15,366","-36:39:29,708",-5.0042683333,-36.6582522222,"SIRGAS2000","Definitiva","Vertical",NA,131,NA,"MR",24,NA,9,"NM",NA,"","","","","Existe","","","","","","","","","","","","","","","","","PA18                          ","","3/1/2020 5:00",1987,1987,1987,"Exploratory",NA,2407203,NA
"5778",NA,NA,6617,"7-TTG-2HPA-SES",90121029318,"Maha Energy","","SE","Sergipe","","","","M","","","Desenvolvimento","","","NA/NA/NA","NA/NA/NA","NA/NA/NA","Confidencial","-10:40:07,870","-36:46:16,931",-10.6688527777,-36.7713697222,"SIRGAS2000","Definitiva","",NA,NA,NA,"",NA,NA,NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","3/1/2020 5:00",NA,NA,NA,"Other","Other",NA,NA
