pol_ID_orthogonal,munic_code_orthogonal
chunk_5_38,4212502
chunk_5_39,4212809
chunk_5_40,4202107
chunk_5_41,4201307
chunk_5_42,4202057
chunk_5_43,4216206
chunk_5_44,4208450
chunk_5_45,4208450
chunk_5_46,4109609
chunk_5_47,4115705
chunk_5_48,4119954
chunk_5_49,4118204
chunk_5_50,4118204
chunk_5_51,4109500
chunk_5_52,3509908
